问题,回答
什么是咖啡豆的最佳储存方式？,咖啡豆应存放在密封、避光、防潮的容器中，远离热源和阳光，最好在阴凉干燥处保存。
如何判断咖啡豆的新鲜度？,新鲜的咖啡豆应该有浓郁的香气，按压时会有脆响，如果闻到油腻味或霉味说明已变质。
咖啡研磨的粗细对萃取有什么影响？,研磨越细萃取越快容易过萃产生苦味，研磨越粗萃取越慢可能萃取不足产生酸味。
什么是咖啡的"金杯标准"？,金杯标准是指咖啡萃取率在18%-22%之间，浓度在1.15%-1.35%之间的最佳风味区间。
如何制作一杯标准的手冲咖啡？,使用15克咖啡粉，注入225毫升92度热水，先闷蒸30秒，然后分2-3次注水，总时间2-3分钟。
意式浓缩咖啡的正确萃取时间是多少？,标准意式浓缩的萃取时间应在25-30秒之间，流出30毫升咖啡液。
为什么咖啡需要闷蒸？,闷蒸可以释放咖啡粉中的二氧化碳，让后续萃取更均匀，提升风味层次。
如何打发优质的牛奶奶泡？,使用冷藏全脂牛奶，蒸汽管形成漩涡，加热至60-65度，得到细腻丝滑的奶泡。
什么是咖啡的萃取率？,萃取率是指从咖啡粉中溶解到水中的可溶性物质占总重量的百分比。
咖啡豆的烘焙度如何影响风味？,浅烘保留更多果酸和花果香，中烘平衡酸甜苦，深烘突出醇厚苦味和烘焙香。
如何清洁咖啡机？,每天用清水冲洗冲泡头，每周用药粉清洗，每月深度除垢，定期更换滤网。
制作冷萃咖啡的最佳比例是多少？,推荐使用1:8的粉水比，冷藏浸泡12-24小时，然后按需稀释。
为什么我的咖啡喝起来很酸？,可能是萃取不足，可以尝试延长萃取时间、提高水温或调细研磨度。
咖啡油脂（crema）是什么？,crema是咖啡豆中的油脂和二氧化碳在高压下形成的金黄色泡沫，是意式浓缩的标志。
如何选择适合自己的咖啡豆？,根据口味偏好：喜欢果酸选非洲豆，喜欢醇厚选亚洲豆，喜欢平衡选中南美豆。
什么是单品咖啡和拼配咖啡？,单品咖啡来自单一产地，突出地域特色；拼配咖啡混合多种豆子，追求风味平衡。
咖啡的最佳饮用温度是多少？,60-70度是最佳饮用温度，既能感受风味又不会烫伤口腔。
如何保存已研磨的咖啡粉？,研磨后应尽快使用，如需保存要密封冷藏并在3天内用完。
为什么咖啡会有苦味？,苦味来自过度萃取，可能是水温太高、时间太长或研磨太细导致的。
